,CPU Model,Manufacturer,Socket,Core,Power,Clock Frequency,Cache Size,Score (CPU Mark),Price,,,,,,,,,,,,,,,,,
56,Core i9-14900K,Intel,LGA1700,24,125,3.2,36,58938 ,418.75,,,,,,,,,,,,,,,,,
57,Core i5-6600K,Intel,LGA1151,4,91,3.5,6,2317 ,115,,,,,,,,,,,,,,,,,
58,Ryzen 9 5900X,AMD,AM4,24,105,3.7,64,39030 ,239.99,,,,,,,,,,,,,,,,,
59,Ryzen 9 3900X,AMD,AM4,12,105,3.8,64,32561 ,350,,,,,,,,,,,,,,,,,
60,Core i5-4690K,Intel,LGA1150,4,88,3.5,6,5705 ,54,,,,,,,,,,,,,,,,,
61,Ryzen 5 1600,AMD,AM4,6,65,3.2,16,12275 ,115,,,,,,,,,,,,,,,,,
62,Core i9-13900KF,Intel,LGA1700,24,125,3,36,57851 ,409.99,,,,,,,,,,,,,,,,,
63,Ryzen 7 7700X,AMD,AM5,8,105,4.5,32,35822 ,276.97,,,,,,,,,,,,,,,,,
64,Core i7-8700,Intel,LGA1151-2,6,65,3.2,12,12770 ,149.81,,,,,,,,,,,,,,,,,
65,Core i7-12700F,Intel,LGA1700,12,65,2.1,25,30472 ,234.99,,,,,,,,,,,,,,,,,
66,Ryzen 7 1700X,AMD,AM4,8,95,3.4,16,15659 ,428.88,,,,,,,,,,,,,,,,,
67,Ryzen 3 3300X,AMD,AM4,4,65,3.8,16,12595 ,125.99,,,,,,,,,,,,,,,,,
68,Ryzen 9 5950X,AMD,AM4,16,105,3.4,64,45458 ,307.99,,,,,,,,,,,,,,,,,
69,Ryzen 7 2700X,AMD,AM4,8,105,3.7,16,17486 ,183,,,,,,,,,,,,,,,,,
70,Core i7-7700HQ,Intel,BGA1440,4,45,2.8,6,6889 ,378,,,,,,,,,,,,,,,,,
71,Ryzen 7 1700,AMD,AM4,8,65,3,16,14795 ,165,,,,,,,,,,,,,,,,,
72,Ryzen 5 3600X,AMD,AM4,6,95,3.8,32,18164 ,167,,,,,,,,,,,,,,,,,
73,Ryzen 5 1600X,AMD,AM4,6,95,3.6,16,13036 ,115,,,,,,,,,,,,,,,,,
74,Ryzen 7 3800X,AMD,AM4,8,105,3.9,32,23059 ,215.99,,,,,,,,,,,,,,,,,
75,Pentium G4560,AMD,LGA1151,2,51,3.5,3,3539 ,68.57,,,,,,,,,,,,,,,,,
76,Core i3-8100,Intel,LGA1151-2,4,65,3.6,6,6088 ,69,,,,,,,,,,,,,,,,,
77,Core i7-8750H,Intel,BGA1440,6,45,2.2,12,9837 ,395,,,,,,,,,,,,,,,,,
78,Core i9-10900K,Intel,LGA1200,10,125,3.7,20,22532 ,499,,,,,,,,,,,,,,,,,
79,Ryzen 7 1800X,AMD,AM4,8,95,3.6,16,16328 ,155,,,,,,,,,,,,,,,,,
80,Core i7-4770K,Intel,LGA1150,4,84,3.5,8,7142 ,302.21,,,,,,,,,,,,,,,,,
81,Core i5-6500,Intel,LGA1151,4,65,3.2,6,5615 ,65,,,,,,,,,,,,,,,,,
